course_code,department,course_number,course_title,syllabus_link
BIOL 1120,BIOL,1120,Biomaterials,https://coursetools.brown.edu/syllabus/BIOL:1120:2023-Spring:S01
BIOL 1150,BIOL,1150,Stem Cell Engineering,https://coursetools.brown.edu/syllabus/BIOL:1150:2023-Spring:S01
BIOL 1160,BIOL,1160,Principles of Exercise Physiology,https://coursetools.brown.edu/syllabus/BIOL:1160:2023-Spring:S01
BIOL 1222A,BIOL,1222A,Current Topics in Functional Genomics,missing
BIOL 1250,BIOL,1250,Host-microbiome Interactions in Health and Disease,https://coursetools.brown.edu/syllabus/BIOL:1250:2023-Spring:S01
BIOL 1310,BIOL,1310,Developmental Biology,https://coursetools.brown.edu/syllabus/BIOL:1310:2023-Spring:S01
BIOL 1330,BIOL,1330,Biology of Reproduction,https://coursetools.brown.edu/syllabus/BIOL:1330:2023-Spring:S01
BIOL 1435,BIOL,1435,Computational Methods for Studying Demographic History with Molecular Data,https://coursetools.brown.edu/syllabus/BIOL:1435:2023-Spring:S01
BIOL 1530,BIOL,1530,Emergency Medical Systems: An Anatomy of Critical Performance,missing
BIOL 1540,BIOL,1540,Molecular Genetics,https://coursetools.brown.edu/syllabus/BIOL:1540:2023-Spring:S01
BIOL 1545,BIOL,1545,Human Genetics and Genomics,https://coursetools.brown.edu/syllabus/BIOL:1545:2023-Spring:S01
BIOL 1550,BIOL,1550,Parasitism: Biology and Disease,https://coursetools.brown.edu/syllabus/BIOL:1550:2023-Spring:S01
BIOL 1555,BIOL,1555,Methods in Informatics and Data Science for Health,https://coursetools.brown.edu/syllabus/BIOL:1555:2023-Spring:S01
BIOL 1600,BIOL,1600,Development of Vaccines to Infectious Diseases,https://coursetools.brown.edu/syllabus/BIOL:1600:2023-Spring:S01
BIOL 1610,BIOL,1610,Experimental Neurobiology,missing
BIOL 1810,BIOL,1810,21st Century Applications in Cell and Molecular Biology,missing
BIOL 1820,BIOL,1820,Environmental Health and Disease,https://coursetools.brown.edu/syllabus/BIOL:1820:2023-Spring:S01
BIOL 1865,BIOL,1865,Toxicology,https://coursetools.brown.edu/syllabus/BIOL:1865:2023-Spring:S01
BIOL 1885,BIOL,1885,Human Anatomy and Biomechanics,missing
BIOL 2010B,BIOL,2010B,Introduction to Data Science in Molecular Biology,https://coursetools.brown.edu/syllabus/BIOL:2010B:2023-Spring:S01
BIOL 2018,BIOL,2018,Management Strategies in Biotechnology,https://coursetools.brown.edu/syllabus/BIOL:2018:2023-Spring:S01
BIOL 2040,BIOL,2040,Ultrastructure/Bioimaging,https://coursetools.brown.edu/syllabus/BIOL:2040:2023-Spring:S01
BIOL 2135,BIOL,2135,Pharmacokinetics and Drug Design,missing
BIOL 2145,BIOL,2145,Molecular Targets of Drug Discovery,https://coursetools.brown.edu/syllabus/BIOL:2145:2023-Spring:S01
BIOL 2167,BIOL,2167,In Vitro Models for Disease,https://coursetools.brown.edu/syllabus/BIOL:2167:2023-Spring:S01
BIOL 2170,BIOL,2170,Molecular Pharmacology and Physiology,https://coursetools.brown.edu/syllabus/BIOL:2170:2023-Spring:S01
BIOL 2180,BIOL,2180,"Experiential Learning Industry, ELI",https://coursetools.brown.edu/syllabus/BIOL:2180:2023-Spring:S01
BIOL 2222B,BIOL,2222B,Current Topics in Functional Genomics,https://coursetools.brown.edu/syllabus/BIOL:2222B:2023-Spring:S01
BIOL 2240,BIOL,2240,Biomedical Engineering and Biotechnology Seminar,https://coursetools.brown.edu/syllabus/BIOL:2240:2023-Spring:S01
BIOL 2310,BIOL,2310,Developmental Biology,https://coursetools.brown.edu/syllabus/BIOL:2310:2023-Spring:S01
BIOL 2350,BIOL,2350,The Biology of Aging,https://coursetools.brown.edu/syllabus/BIOL:2350:2023-Spring:S01
BIOL 2440,BIOL,2440,Topics in Ecology and Evolutionary Biology,missing
BIOL 2528,BIOL,2528,"Innovation and Commercialization in Medical Devices, Diagnostics, and Wearables",https://coursetools.brown.edu/syllabus/BIOL:2528:2023-Spring:S01
BIOL 2540,BIOL,2540,Molecular Genetics,https://coursetools.brown.edu/syllabus/BIOL:2540:2023-Spring:S01
BIOL 2545,BIOL,2545,Human Genetics and Genomics,https://coursetools.brown.edu/syllabus/BIOL:2545:2023-Spring:S01
BIOL 2865,BIOL,2865,Toxicology,https://coursetools.brown.edu/syllabus/BIOL:2865:2023-Spring:S01
BIOL 2970,BIOL,2970,Preliminary Examination Preparation,missing
BIOL 2990,BIOL,2990,Thesis Preparation,missing
BIOL XLIST,BIOL,XLIST,Courses of Interest to Biology Concentrators,https://coursetools.brown.edu/syllabus/BIOL:XLIST:2023-Spring:S01
CHEM 0330,CHEM,0330,"Equilibrium, Rate, and Structure",missing
CHEM 0330L,CHEM,0330L,"Equilibrium, Rate, and Structure Lab",https://coursetools.brown.edu/syllabus/CHEM:0330L:2023-Spring:S01
CHEM 0332,CHEM,0332,"Equilibrium, Rate and Structure - Tutorial",missing
CHEM 0350,CHEM,0350,Organic Chemistry I,https://coursetools.brown.edu/syllabus/CHEM:0350:2023-Spring:S01
CHEM 0350L,CHEM,0350L,Organic Chemistry I Lab,https://coursetools.brown.edu/syllabus/CHEM:0350L:2023-Spring:S01
CHEM 0400,CHEM,0400,Biophysical and Bioinorganic Chemistry,missing
CHEM 0500,CHEM,0500,Inorganic Chemistry,missing
CHEM 0600,CHEM,0600,Preparative Chemistry Lab,missing
CHEM 1150,CHEM,1150,Physical Chemistry: Thermodynamics and Statistical Mechanics,https://coursetools.brown.edu/syllabus/CHEM:1150:2023-Spring:S01
CHEM 1160,CHEM,1160,Physical Chemistry Laboratory,https://coursetools.brown.edu/syllabus/CHEM:1160:2023-Spring:S01
CHEM 1230,CHEM,1230,Chemical Biology,missing
CHEM 1450,CHEM,1450,Advanced Organic Chemistry,missing
CHEM 1560G,CHEM,1560G,Nuclear Magnetic Resonance,missing
CHEM 1560Q,CHEM,1560Q,Accelerating Chemical Discovery,missing
CHEM 2020,CHEM,2020,Statistical Mechanics,missing
CHEM 2320,CHEM,2320,Solid State Chemistry,missing
CHEM 2430,CHEM,2430,Synthetic Organic Chemistry,missing
CHEM 2780,CHEM,2780,Quantum Mechanics,missing
CHEM 2870,CHEM,2870,Departmental Colloquia,missing
CHEM 2970,CHEM,2970,Preliminary Examination Preparation,missing
CHEM 2990,CHEM,2990,Thesis Preparation,missing
CHIN 0200,CHIN,0200,Basic Chinese,https://coursetools.brown.edu/syllabus/CHIN:0200:2023-Spring:S01
CHIN 0400,CHIN,0400,Intermediate Chinese,https://coursetools.brown.edu/syllabus/CHIN:0400:2023-Spring:S01
CHIN 0450,CHIN,0450,Advanced Chinese for Heritage Learners,https://coursetools.brown.edu/syllabus/CHIN:0450:2023-Spring:S01
CHIN 0600,CHIN,0600,Advanced Modern Chinese I,https://coursetools.brown.edu/syllabus/CHIN:0600:2023-Spring:S01
CHIN 0800,CHIN,0800,Advanced Modern Chinese II,https://coursetools.brown.edu/syllabus/CHIN:0800:2023-Spring:S01
CHIN 0911,CHIN,0911,Business Chinese,https://coursetools.brown.edu/syllabus/CHIN:0911:2023-Spring:S01
CHIN 1010,CHIN,1010,"Stories from the Chinese Empire: Scholars, Demons and Swindlers",https://coursetools.brown.edu/syllabus/CHIN:1010:2023-Spring:S01
CHIN 1040,CHIN,1040,Modern Chinese Literature,missing
CLAS 0210F,CLAS,0210F,The Meaning of History in the Ancient World,https://coursetools.brown.edu/syllabus/CLAS:0210F:2023-Spring:S01
CLAS 0330,CLAS,0330,The Odyssey in Literature and Film (COLT 0710Q),missing
CLAS 0920,CLAS,0920,Roman Mythology,https://coursetools.brown.edu/syllabus/CLAS:0920:2023-Spring:S01
CLAS 0995,CLAS,0995,India’s Classical Performing Arts,https://coursetools.brown.edu/syllabus/CLAS:0995:2023-Spring:S01
