course_code,department,course_number,course_title,syllabus_link
ENGL 1180E,ENGL,1180E,Lifewriting,missing
ENGL 1180W,ENGL,1180W,Writing About History,https://coursetools.brown.edu/syllabus/ENGL:1180W:2023-Spring:S01
ENGL 1190S,ENGL,1190S,Poetics of Narrative,missing
ENGL 1190U,ENGL,1190U,Nature Writing,https://coursetools.brown.edu/syllabus/ENGL:1190U:2023-Spring:S01
ENGL 1191D,ENGL,1191D,"Writing Wonder, Joy, and Awe",https://coursetools.brown.edu/syllabus/ENGL:1191D:2023-Spring:S01
ENGL 1311M,ENGL,1311M,Renaissance Poetry and Its Kinds,https://coursetools.brown.edu/syllabus/ENGL:1311M:2023-Spring:S01
ENGL 1361Q,ENGL,1361Q,Medieval Race,missing
ENGL 1560B,ENGL,1560B,Melville,https://coursetools.brown.edu/syllabus/ENGL:1560B:2023-Spring:S01
ENGL 1710I,ENGL,1710I,Harlem Renaissance: The Politics of Culture,https://coursetools.brown.edu/syllabus/ENGL:1710I:2023-Spring:S01
ENGL 1710J,ENGL,1710J,Modern African Literature,missing
ENGL 1711O,ENGL,1711O,"Radical Pasts, Radical Futures: Literature and the Left",https://coursetools.brown.edu/syllabus/ENGL:1711O:2023-Spring:S01
ENGL 1711R,ENGL,1711R,Kazuo Ishiguro,missing
ENGL 1760J,ENGL,1760J,Reading Gravity's Rainbow,https://coursetools.brown.edu/syllabus/ENGL:1760J:2023-Spring:S01
ENGL 1762M,ENGL,1762M,Caribbean Literature,missing
ENGL 1900K,ENGL,1900K,Reading Sex,https://coursetools.brown.edu/syllabus/ENGL:1900K:2023-Spring:S01
ENGL 1992,ENGL,1992,Senior Honors Thesis in English,https://coursetools.brown.edu/syllabus/ENGL:1992:2023-Spring:S01
ENGL 1994,ENGL,1994,Senior Honors Thesis in Nonfiction Writing,missing
ENGL 2761T,ENGL,2761T,Race and the Gothic,missing
ENGL 2761U,ENGL,2761U,Comedy and Justice,https://coursetools.brown.edu/syllabus/ENGL:2761U:2023-Spring:S01
ENGL 2761V,ENGL,2761V,In the Wake of War: Ecologies of Displacement in Contemporary Fiction and Poetry,missing
ENGL 2940,ENGL,2940,Scholarly Writing for Journal Publication,missing
ENGL 2970,ENGL,2970,Preliminary Examination Preparation,missing
ENGL 2990,ENGL,2990,Thesis Preparation,missing
ENGL XLIST,ENGL,XLIST,Courses of Interest to Students Concentrating in English,https://coursetools.brown.edu/syllabus/ENGL:XLIST:2023-Spring:S01
ENGN 0020,ENGN,0020,Transforming Society-Technology and Choices for the Future,https://coursetools.brown.edu/syllabus/ENGN:0020:2023-Spring:S01
ENGN 0040,ENGN,0040,Dynamics and Vibrations,missing
ENGN 0061,ENGN,0061,Undergraduate Teaching Assistant Apprenticeship: Full Credit,https://coursetools.brown.edu/syllabus/ENGN:0061:2023-Spring:S01
ENGN 0062,ENGN,0062,Undergraduate Teaching Assistant Apprenticeship: Half Credit,https://coursetools.brown.edu/syllabus/ENGN:0062:2023-Spring:S01
ENGN 0120B,ENGN,0120B,Crossing the Space Chasm Through Engineering Design,https://coursetools.brown.edu/syllabus/ENGN:0120B:2023-Spring:S01
ENGN 0150,ENGN,0150,Principles of Chemical and Atomistic Engineering,https://coursetools.brown.edu/syllabus/ENGN:0150:2023-Spring:S01
ENGN 0260,ENGN,0260,Mechanical Technology,missing
ENGN 0500,ENGN,0500,Digital Computing Systems,https://coursetools.brown.edu/syllabus/ENGN:0500:2023-Spring:S01
ENGN 0520,ENGN,0520,Electrical Circuits and Signals,missing
ENGN 0720,ENGN,0720,Thermodynamics,https://coursetools.brown.edu/syllabus/ENGN:0720:2023-Spring:S01
ENGN 0900,ENGN,0900,Managerial Decision Making,https://coursetools.brown.edu/syllabus/ENGN:0900:2023-Spring:S01
ENGN 0930C,ENGN,0930C,DesignStudio,https://coursetools.brown.edu/syllabus/ENGN:0930C:2023-Spring:S01
ENGN 0931L,ENGN,0931L,Biomedical Engineering Design and Innovation II,https://coursetools.brown.edu/syllabus/ENGN:0931L:2023-Spring:S01
ENGN 1001,ENGN,1001,Projects in Engineering Design II,https://coursetools.brown.edu/syllabus/ENGN:1001:2023-Spring:S01
ENGN 1010,ENGN,1010,The Entrepreneurial Process,https://coursetools.brown.edu/syllabus/ENGN:1010:2023-Spring:S01
ENGN 1110,ENGN,1110,Transport and Biotransport Processes,https://coursetools.brown.edu/syllabus/ENGN:1110:2023-Spring:S01
ENGN 1140,ENGN,1140,Chemical Process Design,missing
ENGN 1150,ENGN,1150,Environmental Engineering Design,https://coursetools.brown.edu/syllabus/ENGN:1150:2023-Spring:S01
ENGN 1210,ENGN,1210,Biomechanics,https://coursetools.brown.edu/syllabus/ENGN:1210:2023-Spring:S01
ENGN 1220,ENGN,1220,Neuroengineering,https://coursetools.brown.edu/syllabus/ENGN:1220:2023-Spring:S01
ENGN 1300,ENGN,1300,Structural Analysis,https://coursetools.brown.edu/syllabus/ENGN:1300:2023-Spring:S01
ENGN 1340,ENGN,1340,Water Supply and Treatment Systems - Technology and Sustainability,https://coursetools.brown.edu/syllabus/ENGN:1340:2023-Spring:S01
ENGN 1350,ENGN,1350,Art Fluids Engineering,https://coursetools.brown.edu/syllabus/ENGN:1350:2023-Spring:S01
ENGN 1370,ENGN,1370,Advanced Engineering Mechanics,https://coursetools.brown.edu/syllabus/ENGN:1370:2023-Spring:S01
ENGN 1420,ENGN,1420,Kinetics Processes in Materials Science and Engineering,https://coursetools.brown.edu/syllabus/ENGN:1420:2023-Spring:S01
ENGN 1440,ENGN,1440,Mechanical Properties of Materials,https://coursetools.brown.edu/syllabus/ENGN:1440:2023-Spring:S01
ENGN 1450,ENGN,1450,Properties and Processing of Electronic Materials,https://coursetools.brown.edu/syllabus/ENGN:1450:2023-Spring:S01
ENGN 1500,ENGN,1500,Medical Image Analysis,https://coursetools.brown.edu/syllabus/ENGN:1500:2023-Spring:S01
ENGN 1560,ENGN,1560,Optics,https://coursetools.brown.edu/syllabus/ENGN:1560:2023-Spring:S01
ENGN 1580,ENGN,1580,Communication Systems,https://coursetools.brown.edu/syllabus/ENGN:1580:2023-Spring:S01
ENGN 1590,ENGN,1590,Introduction to Semiconductors and Semiconductor Electronics,https://coursetools.brown.edu/syllabus/ENGN:1590:2023-Spring:S01
ENGN 1620,ENGN,1620,Analysis and Design of Electronic Circuits,https://coursetools.brown.edu/syllabus/ENGN:1620:2023-Spring:S01
ENGN 1640,ENGN,1640,Design of Computing Systems,missing
ENGN 1700,ENGN,1700,Fluid Mechanics of Aerospace and Energy Systems,https://coursetools.brown.edu/syllabus/ENGN:1700:2023-Spring:S01
ENGN 1710,ENGN,1710,Heat and Mass Transfer,https://coursetools.brown.edu/syllabus/ENGN:1710:2023-Spring:S01
ENGN 1740,ENGN,1740,Computer Aided Visualization and Design,https://coursetools.brown.edu/syllabus/ENGN:1740:2023-Spring:S01
ENGN 1760,ENGN,1760,Design of Space Systems,https://coursetools.brown.edu/syllabus/ENGN:1760:2023-Spring:S01
ENGN 1840,ENGN,1840,Numerical Methods in Engineering,https://coursetools.brown.edu/syllabus/ENGN:1840:2023-Spring:S01
ENGN 1860,ENGN,1860,Advanced Fluid Mechanics,https://coursetools.brown.edu/syllabus/ENGN:1860:2023-Spring:S01
ENGN 1930B,ENGN,1930B,Biomedical Optics,https://coursetools.brown.edu/syllabus/ENGN:1930B:2023-Spring:S01
ENGN 1930U,ENGN,1930U,Renewable Energy Technologies,https://coursetools.brown.edu/syllabus/ENGN:1930U:2023-Spring:S01
ENGN 1931H,ENGN,1931H,Capital Formation & Financing Growth,https://coursetools.brown.edu/syllabus/ENGN:1931H:2023-Spring:S01
ENGN 1931L,ENGN,1931L,Biomedical Engineering Design and Innovation II,https://coursetools.brown.edu/syllabus/ENGN:1931L:2023-Spring:S01
ENGN 1931Q,ENGN,1931Q,Entrepreneurial Management in Adversity,missing
ENGN 1931T,ENGN,1931T,"Entrepreneurship Practicum: Starting, Running, and Scaling Ventures",missing
ENGN 1931W,ENGN,1931W,Selling & Sales Leadership in the Entrepreneurial Environment,missing
ENGN 1931Y,ENGN,1931Y,Control Systems Engineering,https://coursetools.brown.edu/syllabus/ENGN:1931Y:2023-Spring:S01
ENGN 1932D,ENGN,1932D,Qualitative Market Research for Entrepreneurs & Business Innovators,https://coursetools.brown.edu/syllabus/ENGN:1932D:2023-Spring:S01
ENGN 2000,ENGN,2000,Effective Leadership: Theory and Practice,missing
ENGN 2020,ENGN,2020,Mathematical Methods in Engineering and Physics II,https://coursetools.brown.edu/syllabus/ENGN:2020:2023-Spring:S01
ENGN 2030,ENGN,2030,Persuasive Communication,missing
ENGN 2040,ENGN,2040,Leadership and Professional Development,missing
ENGN 2060,ENGN,2060,Technology Leadership in a Changing Environment,missing
ENGN 2095,ENGN,2095,Psychological Perspectives on Strategic Decision Making,missing
ENGN 2125,ENGN,2125,Engineering Management + Decision Making,missing
ENGN 2172,ENGN,2172,Integrate and Implement,missing
ENGN 2173,ENGN,2173,Design Engineering Communication,missing
ENGN 2180,ENGN,2180,Globalization Immersion Experience and Entrepreneurship Laboratory,missing
ENGN 2220,ENGN,2220,Mechanics of Solids,https://coursetools.brown.edu/syllabus/ENGN:2220:2023-Spring:S01
ENGN 2260,ENGN,2260,Stress Waves in Solids,missing
ENGN 2370B,ENGN,2370B,Topics in Solid and Structural Mechanics,https://coursetools.brown.edu/syllabus/ENGN:2370B:2023-Spring:S01
ENGN 2420,ENGN,2420,Kinetic Processes and Mechanisms in Materials Science,https://coursetools.brown.edu/syllabus/ENGN:2420:2023-Spring:S01
ENGN 2430,ENGN,2430,Deformation Behavior of Materials,missing
ENGN 2450,ENGN,2450,Exchange Scholar Program,missing
ENGN 2460,ENGN,2460,Electronic and Magnetic Materials Design,https://coursetools.brown.edu/syllabus/ENGN:2460:2023-Spring:S01
ENGN 2500,ENGN,2500,Medical Image Analysis,https://coursetools.brown.edu/syllabus/ENGN:2500:2023-Spring:S01
ENGN 2501,ENGN,2501,Digital Geometry Processing,https://coursetools.brown.edu/syllabus/ENGN:2501:2023-Spring:S01
ENGN 2530,ENGN,2530,Digital Signal Processing,missing
ENGN 2660,ENGN,2660,Physics and Technology of Semiconductor Heterostructures,https://coursetools.brown.edu/syllabus/ENGN:2660:2023-Spring:S01
ENGN 2800,ENGN,2800,Critical Challenge Project,missing
ENGN 2820,ENGN,2820,Fluid Mechanics II,https://coursetools.brown.edu/syllabus/ENGN:2820:2023-Spring:S01
ENGN 2911P,ENGN,2911P,Fate and Transport of Environmental Contaminants,https://coursetools.brown.edu/syllabus/ENGN:2911P:2023-Spring:S01
ENGN 2912F,ENGN,2912F,Soft Matter,https://coursetools.brown.edu/syllabus/ENGN:2912F:2023-Spring:S01
ENGN 2912P,ENGN,2912P,Topics in Optimization,https://coursetools.brown.edu/syllabus/ENGN:2912P:2023-Spring:S01
ENGN 2912Q,ENGN,2912Q,Coherence of Light in Nanooptics and Plasmonics,https://coursetools.brown.edu/syllabus/ENGN:2912Q:2023-Spring:S01
ENGN 2912R,ENGN,2912R,Implantable Devices,https://coursetools.brown.edu/syllabus/ENGN:2912R:2023-Spring:S01
ENGN 2912V,ENGN,2912V,Deep Learning for Scientists and Engineers,https://coursetools.brown.edu/syllabus/ENGN:2912V:2023-Spring:S01
ENGN 2930,ENGN,2930,Atomistic Modeling of Materials,https://coursetools.brown.edu/syllabus/ENGN:2930:2023-Spring:S01
ENGN 2970,ENGN,2970,Preliminary Examination Preparation,missing
ENGN 2990,ENGN,2990,Thesis Preparation,missing
ENVS 0490,ENVS,0490,Environmental Science in a Changing World,https://coursetools.brown.edu/syllabus/ENVS:0490:2023-Spring:S01
ENVS 0705,ENVS,0705,"Equity and the Environment: Movements, Scholarship, Solutions",missing
ENVS 0715,ENVS,0715,Political Ecology,missing
ENVS 1350,ENVS,1350,Environmental Economics and Policy,https://coursetools.brown.edu/syllabus/ENVS:1350:2023-Spring:S01
ENVS 1415,ENVS,1415,"Power, Justice, and Climate Change",https://coursetools.brown.edu/syllabus/ENVS:1415:2023-Spring:S01
ENVS 1421,ENVS,1421,Podcasting For the Common Good: Storytelling with Science,missing
ENVS 1547,ENVS,1547,Finance and the Environment,https://coursetools.brown.edu/syllabus/ENVS:1547:2023-Spring:S01
ENVS 1554,ENVS,1554,"Farm Planet: Hunger, Development, and the Future of Food and Agriculture",missing
ENVS 1555,ENVS,1555,Local Food Systems and Urban Agriculture,https://coursetools.brown.edu/syllabus/ENVS:1555:2023-Spring:S01
ENVS 1580,ENVS,1580,Environmental Stewardship and Resilience in Urban Systems,https://coursetools.brown.edu/syllabus/ENVS:1580:2023-Spring:S01
ENVS 1805,ENVS,1805,Ocean Governance and Policy,missing
ENVS 1825,ENVS,1825,"Worlds and Things: Life, Labor, Development, and the Earth-Shaking Power of Stuff",missing
ENVS 1911,ENVS,1911,Narrating the Anthropocene,https://coursetools.brown.edu/syllabus/ENVS:1911:2023-Spring:S01
ENVS 1916,ENVS,1916,Animals and Plants in Chinese History,https://coursetools.brown.edu/syllabus/ENVS:1916:2023-Spring:S01
ENVS 1925,ENVS,1925,Energy Policy and Politics,https://coursetools.brown.edu/syllabus/ENVS:1925:2023-Spring:S01
ETHN 1200F,ETHN,1200F,The Mexican Revolution (HIST 1333),https://coursetools.brown.edu/syllabus/ETHN:1200F:2023-Spring:S01
ETHN 1200M,ETHN,1200M,Latinx in Graphic Detail,https://coursetools.brown.edu/syllabus/ETHN:1200M:2023-Spring:S01
ETHN 1750L,ETHN,1750L,Latina Feminisms,https://coursetools.brown.edu/syllabus/ETHN:1750L:2023-Spring:S01
ETHN 1751F,ETHN,1751F,Race in U.S. Cities and Suburbs,https://coursetools.brown.edu/syllabus/ETHN:1751F:2023-Spring:S01
ETHN 1900E,ETHN,1900E,Senior Seminar in Ethnic Studies,https://coursetools.brown.edu/syllabus/ETHN:1900E:2023-Spring:S01
FREN 0200,FREN,0200,Basic French,https://coursetools.brown.edu/syllabus/FREN:0200:2023-Spring:S01
FREN 0400,FREN,0400,Intermediate French II,https://coursetools.brown.edu/syllabus/FREN:0400:2023-Spring:S01
FREN 0500,FREN,0500,Writing and Speaking French I,https://coursetools.brown.edu/syllabus/FREN:0500:2023-Spring:S01
FREN 0600,FREN,0600,Writing and Speaking French II,https://coursetools.brown.edu/syllabus/FREN:0600:2023-Spring:S01
FREN 0610,FREN,0610,Writing and Speaking French II: International Relations,https://coursetools.brown.edu/syllabus/FREN:0610:2023-Spring:S01
FREN 1070K,FREN,1070K,Les années folles: le roman français dans les années 20,https://coursetools.brown.edu/syllabus/FREN:1070K:2023-Spring:S01
FREN 1070M,FREN,1070M,La question animale,missing
FREN 1310I,FREN,1310I,Femmes écrivains,https://coursetools.brown.edu/syllabus/FREN:1310I:2023-Spring:S01
FREN 1310R,FREN,1310R,Agnès Varda: La Femme à la Caméra,missing
FREN 1410X,FREN,1410X,Dés/Accords franco-américains,https://coursetools.brown.edu/syllabus/FREN:1410X:2023-Spring:S01
FREN 2040G,FREN,2040G,Gender and Political Control in Medieval Literature (COLT 2822L),missing
FREN 2170O,FREN,2170O,Ivresses,https://coursetools.brown.edu/syllabus/FREN:2170O:2023-Spring:S01
FREN 2600P,FREN,2600P,Clichés. L’écriture à l’épreuve de la photographie.,missing
FREN 2970,FREN,2970,Preliminary Examination Preparation,missing
FREN 2990,FREN,2990,Thesis Preparation,missing
GNSS 0120,GNSS,0120,Introduction to Gender and Sexuality Studies,https://coursetools.brown.edu/syllabus/GNSS:0120:2023-Spring:S01
GNSS 1101,GNSS,1101,A Gender Perspective on Women and Enterprise,https://coursetools.brown.edu/syllabus/GNSS:1101:2023-Spring:S01
GNSS 1510A,GNSS,1510A,Reproductive In/Justice,missing
GNSS 1610,GNSS,1610,Transnational Feminisms,missing
GNSS 1620,GNSS,1620,Indigenous Feminisms: Environmental Justice and Resistance,missing
GNSS 1961Y,GNSS,1961Y,Gaps and Silences: In and Out of the Archives,missing
GNSS 2000,GNSS,2000,"Method, Evidence, Critique: Gender and Sexuality Studies across the Disciplines",missing
GNSS 2020P,GNSS,2020P,Pembroke Research Seminar: In the Afterlives and Aftermaths of Ruin,missing
GNSS XLIST,GNSS,XLIST,Courses of Interest to Concentrators in Gender and Sexuality Studies,https://coursetools.brown.edu/syllabus/GNSS:XLIST:2023-Spring:S01
GPHP 2010A,GPHP,2010A,Using Epidemiology to Make Public Health Decisions,https://coursetools.brown.edu/syllabus/GPHP:2010A:2023-Spring:S01
GPHP 2400A,GPHP,2400A,Healthcare Systems & Policy,missing
GREK 0110,GREK,0110,Intensive Introduction to Ancient Greek,https://coursetools.brown.edu/syllabus/GREK:0110:2023-Spring:S01
GREK 0200,GREK,0200,Essentials of the Greek Language,https://coursetools.brown.edu/syllabus/GREK:0200:2023-Spring:S01
GREK 0400,GREK,0400,Introduction to Greek Literature,https://coursetools.brown.edu/syllabus/GREK:0400:2023-Spring:S01
GREK 1050B,GREK,1050B,Euripides,missing
GREK 1111D,GREK,1111D,Daphnis and Chloe,https://coursetools.brown.edu/syllabus/GREK:1111D:2023-Spring:S01
GREK 2105,GREK,2105,Plato's Sophist and Statesman (PHIL 2105),missing
GREK 2970,GREK,2970,Preliminary Exam Preparation,missing
GREK 2990,GREK,2990,Thesis Preparation,missing
GRMN 0110,GRMN,0110,Intensive Beginning German,https://coursetools.brown.edu/syllabus/GRMN:0110:2023-Spring:S01
GRMN 0200,GRMN,0200,Beginning German,https://coursetools.brown.edu/syllabus/GRMN:0200:2023-Spring:S01
GRMN 0400,GRMN,0400,Intermediate German II,https://coursetools.brown.edu/syllabus/GRMN:0400:2023-Spring:S01
GRMN 0600B,GRMN,0600B,Was ist Deutsch?,https://coursetools.brown.edu/syllabus/GRMN:0600B:2023-Spring:S01
GRMN 1000B,GRMN,1000B,Introduction to German Critical Thought II,https://coursetools.brown.edu/syllabus/GRMN:1000B:2023-Spring:S01
GRMN 1441L,GRMN,1441L,German Drama (1776-1941),https://coursetools.brown.edu/syllabus/GRMN:1441L:2023-Spring:S01
GRMN 1662A,GRMN,1662A,The Promise of Being: Heidegger for Beginners (COLT 1610V),https://coursetools.brown.edu/syllabus/GRMN:1662A:2023-Spring:S01
GRMN 1900Q,GRMN,1900Q,Contemporary German Crime Fiction,https://coursetools.brown.edu/syllabus/GRMN:1900Q:2023-Spring:S01
GRMN 2662L,GRMN,2662L,Thinking Unrest: German Idealism and the Traces of History,https://coursetools.brown.edu/syllabus/GRMN:2662L:2023-Spring:S01
GRMN 2662M,GRMN,2662M,… Reading –– Lesen …,https://coursetools.brown.edu/syllabus/GRMN:2662M:2023-Spring:S01
GRMN 2970,GRMN,2970,Preliminary Examination Preparation,missing
GRMN 2990,GRMN,2990,Thesis Preparation,missing
HCL 2000,HCL,2000,Strategic Planning and Value Creation in Integrated Healthcare,missing
HCL 2010,HCL,2010,"Healthcare Policy: Yesterday, Today, and Tomorrow",missing
HCL 2060,HCL,2060,Quality Improvement and the Healthcare Learning Organization,missing
HCL 2080,HCL,2080,The Critical Challenge: Capstone Project,missing
HCL 2090,HCL,2090,Leadership and Professional Development,missing
HCL 2110,HCL,2110,Epidemiology and Biostatistics for Healthcare,https://coursetools.brown.edu/syllabus/HCL:2110:2023-Spring:S01
HCL 2130,HCL,2130,Data Analytics,missing
HEBR 0200,HEBR,0200,Elementary Hebrew,missing
HEBR 0400,HEBR,0400,Intermediate Hebrew,missing
HEBR 0600,HEBR,0600,"Issues in Contemporary Israeli Society, Politics, and Culture in Hebrew",missing
HIAA 0065,HIAA,0065,Introduction to the Built Environment,missing
HIAA 0085,HIAA,0085,German Architecture after World War Two,https://coursetools.brown.edu/syllabus/HIAA:0085:2023-Spring:S01
HIAA 0089,HIAA,0089,Contemporary Photography,https://coursetools.brown.edu/syllabus/HIAA:0089:2023-Spring:S01
HIAA 0130,HIAA,0130,Architectural Projection,missing
HIAA 0150,HIAA,0150,Intermediate Architectural Design Studio,missing
HIAA 1201,HIAA,1201,Brushwork: Chinese Painting in Time,https://coursetools.brown.edu/syllabus/HIAA:1201:2023-Spring:S01
HIAA 1432,HIAA,1432,Borderlands: Art and Culture between Rome and Iran,https://coursetools.brown.edu/syllabus/HIAA:1432:2023-Spring:S01
HIAA 1470,HIAA,1470,"The Lactating, Menstruating Christ: Constructing and Depicting Gender in Late Medieval Europe",https://coursetools.brown.edu/syllabus/HIAA:1470:2023-Spring:S01
HIAA 1625,HIAA,1625,Native American Architecture,https://coursetools.brown.edu/syllabus/HIAA:1625:2023-Spring:S01
HIAA 2450,HIAA,2450,Exchange Scholar Program,missing
HIAA 2725,HIAA,2725,Methods of South Asian Art History,https://coursetools.brown.edu/syllabus/HIAA:2725:2023-Spring:S01
HIAA 2860H,HIAA,2860H,Special Topics: Photography: Reception and Response,missing
HIAA 2920,HIAA,2920,Methods of Research and Art Historical Interpretation,https://coursetools.brown.edu/syllabus/HIAA:2920:2023-Spring:S01
HIAA 2990,HIAA,2990,Thesis Preparation,missing
HIAA 2991,HIAA,2991,Dissertation Preparation,missing
HIAA XLIST,HIAA,XLIST,Courses of Interest to Concentrators,https://coursetools.brown.edu/syllabus/HIAA:XLIST:2023-Spring:S01
HISP 0200,HISP,0200,Basic Spanish,https://coursetools.brown.edu/syllabus/HISP:0200:2023-Spring:S01
HISP 0300,HISP,0300,Intermediate Spanish I,missing
HISP 0400,HISP,0400,Intermediate Spanish II,https://coursetools.brown.edu/syllabus/HISP:0400:2023-Spring:S01
HISP 0500,HISP,0500,Advanced Spanish I,https://coursetools.brown.edu/syllabus/HISP:0500:2023-Spring:S01
HISP 0600,HISP,0600,Advanced Spanish II,missing
HISP 0650,HISP,0650,Advanced Spanish Through Literature & Film,missing
HISP 0750G,HISP,0750G,Wildeyed Stories,missing
HISP 0750Q,HISP,0750Q,"Health, Illness and Medicine in Spanish and Spanish American Literature and Film",https://coursetools.brown.edu/syllabus/HISP:0750Q:2023-Spring:S01
HISP 0750W,HISP,0750W,Caribe Queer,https://coursetools.brown.edu/syllabus/HISP:0750W:2023-Spring:S01
HISP 1240L,HISP,1240L,Don Quijote de la Mancha,missing
HISP 1331E,HISP,1331E,Visions and Voices of Indigenous Mexico,missing
HISP 1331Q,HISP,1331Q,Las raras: escritoras y artistas latinoamericanas,https://coursetools.brown.edu/syllabus/HISP:1331Q:2023-Spring:S01
HISP 2030C,HISP,2030C,Medieval Masterpieces,missing
HISP 2600,HISP,2600,Exploring and Extracting in Colonial Latin American Literatures,https://coursetools.brown.edu/syllabus/HISP:2600:2023-Spring:S01
HISP 2900A,HISP,2900A,Translation: Theory and Practice (COLT 2720D),missing
HISP 2970,HISP,2970,Preliminary Examination Preparation,missing
HISP 2990,HISP,2990,Thesis Preparation,missing
HIST 0234,HIST,0234,Modern Latin America,https://coursetools.brown.edu/syllabus/HIST:0234:2023-Spring:S01
HIST 0256,HIST,0256,Introduction to Latinx History,missing
HIST 0273B,HIST,0273B,"Religion and European Colonialism, 1700-1900",https://coursetools.brown.edu/syllabus/HIST:0273B:2023-Spring:S01
HIST 0276,HIST,0276,A Global History of the Atomic Age,https://coursetools.brown.edu/syllabus/HIST:0276:2023-Spring:S01
HIST 0286A,HIST,0286A,History of Medicine I: Medical Traditions in the Old World Before 1700,https://coursetools.brown.edu/syllabus/HIST:0286A:2023-Spring:S01
HIST 0522O,HIST,0522O,What is Enlightenment?,https://coursetools.brown.edu/syllabus/HIST:0522O:2023-Spring:S01
HIST 0574A,HIST,0574A,"The Silk Road, Past and Present",https://coursetools.brown.edu/syllabus/HIST:0574A:2023-Spring:S01
HIST 0623D,HIST,0623D,The Great Patriotic War: The Soviet Experience of World War II,https://coursetools.brown.edu/syllabus/HIST:0623D:2023-Spring:S01
HIST 0656A,HIST,0656A,History of Intercollegiate Athletics,https://coursetools.brown.edu/syllabus/HIST:0656A:2023-Spring:S01
HIST 0659A,HIST,0659A,"Excessive Force: State Violence, Vigilantism, and the History of ""Law and Order"" America",missing
HIST 0678A,HIST,0678A,"What Do Concubines Have to Do with It? Gender, Sexuality, and Status in the Premodern World",https://coursetools.brown.edu/syllabus/HIST:0678A:2023-Spring:S01
HIST 0930G,HIST,0930G,Difficult Relations? Judaism and Christianity from the Middle Ages until the Present (JUDS 0050M),missing
HIST 0930S,HIST,0930S,Beyond Orientalism: Understanding 'East Asia' (EAST 0010),missing
HIST 0930X,HIST,0930X,The Quran and its Readers (COLT 0711L),missing
HIST 0930Z,HIST,0930Z,The 1001 Nights (COLT 0510K),missing
HIST 1202,HIST,1202,"Formation of the Classical Heritage: Greeks, Romans, Jews, Christians, and Muslims",missing
HIST 1211,HIST,1211,"Crusaders and Cathedrals, Deviants and Dominance: Europe in the High Middle Ages",https://coursetools.brown.edu/syllabus/HIST:1211:2023-Spring:S01
HIST 1217,HIST,1217,The Cultural History of Democracy,https://coursetools.brown.edu/syllabus/HIST:1217:2023-Spring:S01
HIST 1262M,HIST,1262M,"Truth on Trial: Justice in Italy, 1400-1800",https://coursetools.brown.edu/syllabus/HIST:1262M:2023-Spring:S01
HIST 1266D,HIST,1266D,"British History, 1660-1800",https://coursetools.brown.edu/syllabus/HIST:1266D:2023-Spring:S01
HIST 1310,HIST,1310,History of Brazil,missing
HIST 1333,HIST,1333,The Mexican Revolution,missing
HIST 1340,HIST,1340,History of the Andes from Incas to Evo Morales,https://coursetools.brown.edu/syllabus/HIST:1340:2023-Spring:S01
HIST 1382,HIST,1382,The Environmental History of Latin America,https://coursetools.brown.edu/syllabus/HIST:1382:2023-Spring:S01
HIST 1502,HIST,1502,The Early Republic United States,https://coursetools.brown.edu/syllabus/HIST:1502:2023-Spring:S01
HIST 1533,HIST,1533,Cities and Inequality Since 1920: The United States,https://coursetools.brown.edu/syllabus/HIST:1533:2023-Spring:S01
HIST 1554,HIST,1554,American Empire Since 1890,https://coursetools.brown.edu/syllabus/HIST:1554:2023-Spring:S01
HIST 1820B,HIST,1820B,Environmental History of East Asia,https://coursetools.brown.edu/syllabus/HIST:1820B:2023-Spring:S01
HIST 1930U,HIST,1930U,Slavery in the Ancient World (CLAS 1120E),missing
HIST 1931F,HIST,1931F,History of Greece from Archaic Times to the Death of Alexander (CLAS 1210),missing
HIST 1942A,HIST,1942A,Taiwan's Geographies,https://coursetools.brown.edu/syllabus/HIST:1942A:2023-Spring:S01
HIST 1945A,HIST,1945A,Themes in the History of Modern Eastern Europe,https://coursetools.brown.edu/syllabus/HIST:1945A:2023-Spring:S01
HIST 1953Q,HIST,1953Q,Hindu/Muslim: Readings in South Asian History,missing
HIST 1956A,HIST,1956A,Thinking Historically: A History of History Writing,missing
HIST 1960S,HIST,1960S,North African History: 1800 to Present,missing
HIST 1964L,HIST,1964L,Slavery in the Early Modern World,https://coursetools.brown.edu/syllabus/HIST:1964L:2023-Spring:S01
HIST 1967C,HIST,1967C,"Making Revolutionary Cuba, 1959-Present",https://coursetools.brown.edu/syllabus/HIST:1967C:2023-Spring:S01
HIST 1967L,HIST,1967L,"Politics and Culture Under The Brazilian Military Dictatorship, 1964-1985",missing
HIST 1977I,HIST,1977I,"Gender, Race, and Medicine in the Americas",https://coursetools.brown.edu/syllabus/HIST:1977I:2023-Spring:S01
HIST 1977J,HIST,1977J,War and Medicine since the Renaissance,https://coursetools.brown.edu/syllabus/HIST:1977J:2023-Spring:S01
HIST 1980B,HIST,1980B,Animals and Plants in Chinese History (ENVS 1916),missing
HIST 1980H,HIST,1980H,Heresy and Orthodoxy in Islamic Thought (RELS 1530B).,https://coursetools.brown.edu/syllabus/HIST:1980H:2023-Spring:S01
HIST 1980R,HIST,1980R,Urban Schools in Historical Perspective (EDUC 1620),missing
HIST 1981Q,HIST,1981Q,Early Modern Global History at the John Carter Brown Library: A Research Workshop (POBS 1601K),missing
